169	2532	LM_LEVEL_EX20_SETTINGS
170	2533	LM_LEVEL_LAYER3_BYPASS
171	2534	LM_LEVEL_LAYER3_BYPASS2
172	2535	LM_LEVEL_LAYER3_SETTINGS
173	24D7	LM_OPTIONS_GENERAL
174	24CE	LM_OPTIONS_RESTORE
175	24CB	LM_OPTIONS_ANIM_RATE
176	24D1	LM_OPTIONS_COMPRESSION
177	24E8	LM_OPTIONS_VRAM
178	24BA	LM_OPTIONS_ALLOW_FRAGMENT
179	24BB	LM_OPTIONS_MAINTAIN_CHECKSUM
180	24BC	LM_OPTIONS_AUTO_SCREENS
181	24BD	LM_OPTIONS_ATTACH_FILES
182	24BE	LM_OPTIONS_SPRITE_OBJECT_ID
183	24BF	LM_OPTIONS_BG_CURSOR
184	2415	LM_OPTIONS_TRANSLUCENT
185	24C1	LM_OPTIONS_WINDOW_SIZE
186	24C2	LM_OPTIONS_SCAN_EXITS
187	24C3	LM_OPTIONS_SCAN_SPRITES
188	24C4	LM_OPTIONS_INSTALL_VRAM
189	24C5	LM_OPTIONS_CUSTOM_SPRTES
190	24C6	LM_OPTIONS_AUTO_HEADER
191	24C7	LM_OPTIONS_SAVE_PROMPT
192	24C8	LM_OPTIONS_MOUSE_GESTURES
193	24C9	LM_OPTIONS_SAVE_GESTURES
194	24CC	LM_OPTIONS_USE_FASTROM
195	24CD	LM_OPTIONS_PATCH_FASTROM
196	24CF	LM_OPTIONS_WARN_IPS
197	24D0	LM_OPTIONS_CONVERT_BERRY
198	24D2	LM_OPTIONS_OTHER_BYPASS
199	24D3	LM_OPTIONS_PAST_2MB
200	24D4	LM_OPTIONS_WARN_OBJECT
201	24D5	LM_OPTIONS_CORRECT_FATAL_ERRORS
202	24D6	LM_OPTIONS_SA1_RAM_REMAP
203	24D8	LM_OPTIONS_4BPP_PATCH
204	24D9	LM_OPTIONS_WARN_SPRITE_33
205	24DB	LM_OPTIONS_AUTO_DESELECT
206	24DC	LM_OPTIONS_WHEEL_ZOOM
207	24DD	LM_OPTIONS_ZOOM_MENU
208	25E4	LM_HELP_CONTENTS
209	25E5	LM_HELP_ABOUT
210	2648	LM_VIEW_CUSTOM_TRIGGER_0
211	2649	LM_VIEW_CUSTOM_TRIGGER_1
212	264A	LM_VIEW_CUSTOM_TRIGGER_2
213	264B	LM_VIEW_CUSTOM_TRIGGER_3
214	264C	LM_VIEW_CUSTOM_TRIGGER_4
